"filename", "language", "TypeScript", "SCSS", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\authorization-service\authorization.service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 12, 51
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\authorization-service\role.enum.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\data-service\data.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\data-service\data.service.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 12, 93
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\loading-service\loading.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\loading-service\loading.service.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 8, 28
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\notification-service\notification.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\services\notification-service\notification.service.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 12, 51
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\assets\config\config.json", "JSON", 0, 0, 0, 0, 3, 0, 0, 3
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\assets\i18n\en-GB.json", "JSON", 0, 0, 0, 0, 147, 0, 0, 147
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\assets\i18n\lv-LV.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\assets\i18n\ru-RU.json", "JSON", 0, 0, 0, 0, 11, 0, 0, 11
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\custom-theme.scss", "SCSS", 0, 39, 0, 0, 0, 14, 9, 62
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\environments\environment.prod.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\environments\environment.ts", "TypeScript", 3, 0, 0, 0, 0, 11, 3, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\index.html", "HTML", 0, 0, 15, 0, 0, 0, 1, 16
